Messstelle ID; Messstelle Name      ; Probenahme Ort; Probenahme Art                 ; NAQUA Probenahme Datum; NAQUA Probenahme Uhrzeit; NAWA Probenahme Beginn (Datum und Uhrzeit); NAWA Probenahme Ende (Datum und Uhrzeit); NAWA Probenahme Dauer (Stunden); Labor; Erhebung Feld/Labor; Parameter                                     ; Messwert ; Bestimmungsgrenze; Nachweisgrenze; Einheit; Messunsicherheit absolut/relativ; Messunsicherheit; Gerät/Methode; Bemerkung Messwert; Status                       ; Parameterqualität (0..254); Messprogramm
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; 2-4-D                                         ; <0.100   ;            0.1   ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; 4-und_5-Methylbenzotriazol                    ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Acesulfam                                     ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Acetamiprid                                   ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Amidotrizoesaeure                             ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Amisulprid                                    ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Asulam                                        ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Atenolol                                      ; <0.100   ;            0.1   ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Atrazin                                       ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Azithromycin                                  ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Azoxystrobin                                  ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Bentazon                                      ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Benzotriazol                                  ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
         90650; Standort_650; ---           ; Sammelprobe zeitproportional   ;                       ;                         ; 19.12.2022 08:00                          ; 02.01.2023 08:00                        ;                             336;      ; ---                ; Bezafibrat                                    ; <0.0500  ;            0.05  ;               ; µg/l   ;                                 ;                 ; ---          ;                   ; Freigegeben, validierte Daten;                           ; NAWA Trend
