Messstelle ID;Messstelle Name;Probenahme Ort;Probenahme Art;NAQUA Probenahme Datum;NAQUA Probenahme Uhrzeit;NAWA Probenahme Beginn (Datum und Uhrzeit);NAWA Probenahme Ende (Datum und Uhrzeit);NAWA Probenahme Dauer (Stunden);Labor;Erhebung Feld/Labor;Parameter;Messwert;Bestimmungsgrenze;Nachweisgrenze;Einheit;Messunsicherheit absolut/relativ;Messunsicherheit;Ger‰t/Methode;Bemerkung Messwert;Status;Parameterqualit√§t (0..254);Messprogramm
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;01.01.2024;14.01.2024 23:59;336;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;15.01.2024;28.01.2024 23:59;336;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;29.01.2024;11.02.2024 23:59;336;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;12.02.2024;25.02.2024 23:59;336;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;26.02.2024;10.03.2024 23:59;336;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;11.03.2024;24.03.2024 23:59;336;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;25.03.2024;31.03.2024 23:59;336;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;01.04.2024;03.04.2024 23:59;84;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;04.04.2024;07.04.2024 23:59;84;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
903030;BAFU_Export A;---;Sammelprobe zeitproportional;;;08.04.2024;10.04.2024 23:59;84;;---;2-4-D;0;0.1;0.05;µg/l;;13.9;LC-MS;;Nicht freigegeben, Rohdaten;;NAWA Trend
