"CODE","STANDORT","NAME","PROBEARTID","BEGINNPROBENAHME","ENDEPROBENAHME","PARAMETER","OPERATOR","WERT_NUM","EINHEIT","MSTLTYP","PARAMETERGRUPPEID","PARAMETERGRUPPE","BEZEICHNUNG_BAFU","PARAMETERID_BAFU"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",2.5.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",6.6.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",3.10.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",3.1.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",31.1.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",28.2.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",5.12.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",7.11.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",28.3.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",4.7.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",8.8.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SE02","Riedernbrücke R (unterhalb Scherligraben)","Sense","S",5.9.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",2.5.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",6.6.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",3.10.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",3.1.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",31.1.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",28.2.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",7.11.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",5.12.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",28.3.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",4.7.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",8.8.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SR01","Sensematt, Brücke","Scherlibach","S",5.9.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",2.5.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",6.6.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",3.10.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",3.1.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",31.1.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",28.2.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",7.11.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",5.12.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",28.3.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",4.7.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
"SW52","Steg ob alter Schwarzwasserbrücke","Schwarzwasser","S",8.8.2023 00:00:00,,"Propazin","<",5.00,"ng/l","Fliessgewässer","28","Pestizide","Propazin","Propazin"
