"ID_Substanz";"Name";"Parameter-ID";"CASNr - Gemisch";"Kommentar";"Chem_ID_OZ";"Micropol_ID";"AnalytikDB_ID";"PPDB_ID";"relevante Isomere";"InChIKey"
1;"Verbenol";;"18881-04-4";;;;;;1;
2;"12 OH";;"112-53-8";;;;;1379;;"LQZZUXJYWNFBMV-UHFFFAOYSA-N"
3;"14 OH";;"112-72-1";"";;;;2124;;"HLZKNKRTKFSKGZ-UHFFFAOYSA-N"
4;"1-Methylcyclopropen";;"3100-04-7";"";;;;2;;"SHDPRTQPPWIEJG-UHFFFAOYSA-N"
7;"2,4-D";"2-4-D";"94-75-7";"";15;56233867;267;4;;"OVSKIKFHRZPJSS-UHFFFAOYSA-N"
8;"6-Benzyladenin";"6-Benzyladenin";"1214-39-7";"";20;;4106;1324;;"NWBJYWHLCVSVIJ-UHFFFAOYSA-N"
9;"Abamectin";"Abamectin";"71751-41-2";"CAS B1a: 65195-55-3, CAS B1b: 65195-56-4";21;58658576;3594;8;;"RRZXIRBKKLTSOM-XPNPUAGNSA-N"
10;"Acephat";"Acephat";"30560-19-1";"";22;;3501;9;;"YASYVMFAVPKPKE-UHFFFAOYSA-N"
11;"Acetamiprid";"Acetamiprid";"135410-20-7";"ist bei den Bioziden unter der folgenden Cas-nr drin 160430-64-8 - beide sind richtig";24;58658647;2986;11;;"WCXDHFDTOYPNIE-UHFFFAOYSA-N"
12;"Acibenzolar-S-methyl";"Acibenzolar-S-methyl";"135158-54-2";"";26;58658672;3502;13;;"UELITFHSCLAHKR-UHFFFAOYSA-N"
13;"Aclonifen";"Aclonifen";"74070-46-5";"";27;58658547;159;15;;"DDBMQDADIHOWIC-UHFFFAOYSA-N"
14;"Aethoxyliertes Octylphenol";;;"nicht in Anhang1, Netzmittel";;;;;;
15;"Aethylenglycolmonobuthylaether";;"111-76-2";"";;;;1364;;"POAOYUHQDCAZBD-UHFFFAOYSA-N"
16;"Alachlor";"Alachlor";"15972-60-8";"";28;206;274;17;;"XCSGPAVHZFQHGE-UHFFFAOYSA-N"
17;"Aldicarb";"Aldicarb";"116-06-3";"";29;56233744;272;19;;"QGLZXHRNAYXIBU-WEVVVXLNSA-N"
18;"Alkyl-dimethyl-benzyl-ammoniumchlorid";;;"nicht in Anhang1, Keine CAS möglich, ist ein QUAV, können verschieden Moleküle sein - auch BAC genannt oder QUAVs!";;;;;;
20;"Naphthylacetamid";"alpha-Naphthylacetamid";"86-86-2";"";540;;4096;1729;1;"XFNJVKMNNVCYEK-UHFFFAOYSA-N"
21;"Naphthylessigsäure";"1-Naphthylessigsaeure";"86-87-3";"";2;;3577;1330;1;"PRPINYUDVPFIRX-UHFFFAOYSA-N"
22;"Pinen";;"2437-95-8";"";;;;2017;1;"GRWFGVWFFZKLTI-UHFFFAOYSA-N"
24;"Aluminiumoxid";;"1344-28-1";"";;;10396;;;
25;"Aluminiumphosphid";;"20859-73-8";"";;;;523;;"PPNXXZIBFHTHDM-UHFFFAOYSA-N"
26;"Amidosulfuron";"Amidosulfuron";"120923-37-7";"";36;367;3165;28;;"CTTHWASMBLQOFR-UHFFFAOYSA-N"
